"Vármegye","Egyéni választókerület","Választókerület jelöltjeire szavazók aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma","Belföldön más OEVK-ba átjelentkezettek száma","Külképviseleten szavazók száma","Választókerületi névjegyzékben szereplő választópolgárok aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma ","OEVK-ba átjelentkezett szavazók száma"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 04. számú egyéni választókerület","71 337","68 671","2 162","504","69 371","68 671","700"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","70 057","66 439","3 132","486","67 361","66 439","922"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 06. számú egyéni választókerület","73 619","70 674","2 385","560","71 384","70 674","710"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 07. számú egyéni választókerület","74 237","71 571","2 079","587","72 533","71 571","962"
"Csongrád-Csanád vármegye","Csongrád-Csanád vármegye, 01. számú egyéni választókerület","81 973","77 732","2 651","1 590","77 732","77 732","0"
"Csongrád-Csanád vármegye","Csongrád-Csanád vármegye, 02. számú egyéni választókerület","80 128","76 830","2 125","1 173","82 514","76 830","5 684"
"Csongrád-Csanád vármegye","Csongrád-Csanád vármegye, 03. számú egyéni választókerület","77 793","75 053","2 075","665","75 968","75 053","915"
"Csongrád-Csanád vármegye","Csongrád-Csanád vármegye, 04. számú egyéni választókerület","76 393","73 804","1 938","651","74 819","73 804","1 015"
"Fejér vármegye","Fejér vármegye, 01. számú egyéni választókerület","69 966","67 462","1 602","902","70 285","67 462","2 823"
"Fejér vármegye","Fejér vármegye, 02. számú egyéni választókerület","66 243","63 797","1 733","713","64 505","63 797","708"
"Fejér vármegye","Fejér vármegye, 03. számú egyéni választókerület","69 243","66 599","1 835","809","68 936","66 599","2 337"
"Fejér vármegye","Fejér vármegye, 04. számú egyéni választókerület","66 765","64 398","1 774","593","65 845","64 398","1 447"
"Fejér vármegye","Fejér vármegye, 05. számú egyéni választókerület","65 480","63 485","1 654","341","64 144","63 485","659"
"Győr-Moson-Sopron vármegye","Győr-Moson-Sopron vármegye, 01. számú egyéni választókerület","65 672","63 120","1 748","804","67 813","63 120","4 693"
"Győr-Moson-Sopron vármegye","Győr-Moson-Sopron vármegye, 02. számú egyéni választókerület","73 266","70 906","1 718","642","71 650","70 906","744"
"Győr-Moson-Sopron vármegye","Győr-Moson-Sopron vármegye, 03. számú egyéni választókerület","66 647","64 878","1 444","325","65 888","64 878","1 010"
"Győr-Moson-Sopron vármegye","Győr-Moson-Sopron vármegye, 04. számú egyéni választókerület","75 144","72 612","2 015","517","76 464","72 612","3 852"
"Győr-Moson-Sopron vármegye","Győr-Moson-Sopron vármegye, 05. számú egyéni választókerület","78 555","76 409","1 616","530","78 515","76 409","2 106"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 01. számú egyéni választókerület","65 184","61 669","2 477","1 038","61 669","61 669","0"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 02. számú egyéni választókerület","69 521","66 376","2 275","870","70 762","66 376","4 386"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 03. számú egyéni választókerület","77 993","75 434","1 981","578","76 051","75 434","617"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 04. számú egyéni választókerület","67 099","64 800","1 898","401","65 724","64 800","924"
"Hajdú-Bihar vármegye","Hajdú-Bihar vármegye, 05. számú egyéni választókerület","68 319","65 880","1 920","519","66 657","65 880","777"
